0,CombatZoneResize,113,231,548,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,151,336,40,0,93,1,
0,HeartTeleport,175,327,,,,,
0,BoneVRepeat,528,356,50,0,90,100,15
0,BoneVRepeat,528,226,40,0,90,100,15

0,BoneVRepeat,283,267,40,3,90,11,85
0,BoneVRepeat,393,331,35,1,120,13,95

0,BoneVRepeat,443,248,40,3,90,11,85

0,BoneVRepeat,543,248,35,3,90,11,85
0,BoneVRepeat,243,248,28,3,90,11,85
0,BoneVRepeat,343,248,45,3,90,11,85

0,BoneVRepeat,143,331,28,1,70,13,95
0,BoneVRepeat,148,331,28,1,70,13,95
0,BoneVRepeat,143,331,28,3,70,13,95
0,BoneVRepeat,148,331,28,3,70,13,95

0,BoneVRepeat,510,331,50,3,320,130,95
0,BoneVRepeat,510,331,50,1,320,130,95
7.6,BoneVRepeat,575,245,141,2,440,160,15
1,EndAttack,,,,,,,
